[    3115ms] [LOG] [LandingPage] Loading section: repo-animation @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3115ms] [LOG] [LandingPage] IntersectionObserver fired for problem [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3115ms] [LOG] [LandingPage] Loading section: problem @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3115ms] [LOG] [LandingPage] IntersectionObserver fired for hook [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3115ms] [LOG] [LandingPage] Loading section: hook @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3116ms] [LOG] [LandingPage] IntersectionObserver fired for value [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3116ms] [LOG] [LandingPage] Loading section: value @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3116ms] [LOG] [LandingPage] IntersectionObserver fired for repo-animated [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3116ms] [LOG] [LandingPage] Loading section: repo-animated @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3116ms] [LOG] [LandingPage] IntersectionObserver fired for repo-vfx [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3116ms] [LOG] [LandingPage] Loading section: repo-vfx @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3116ms] [LOG] [LandingPage] IntersectionObserver fired for repo-narrative [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3117ms] [LOG] [LandingPage] Loading section: repo-narrative @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3117ms] [LOG] [LandingPage] IntersectionObserver fired for made-with [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3117ms] [LOG] [LandingPage] Loading section: made-with @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3117ms] [LOG] [LandingPage] IntersectionObserver fired for ugc [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3117ms] [LOG] [LandingPage] Loading section: ugc @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3117ms] [LOG] [LandingPage] IntersectionObserver fired for features [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3118ms] [LOG] [LandingPage] Loading section: features @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3118ms] [LOG] [LandingPage] IntersectionObserver fired for repo-commercial [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3118ms] [LOG] [LandingPage] Loading section: repo-commercial @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3118ms] [LOG] [LandingPage] IntersectionObserver fired for apps [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3118ms] [LOG] [LandingPage] Loading section: apps @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3118ms] [LOG] [LandingPage] IntersectionObserver fired for repo-reference [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3118ms] [LOG] [LandingPage] Loading section: repo-reference @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3119ms] [LOG] [LandingPage] IntersectionObserver fired for gallery [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3119ms] [LOG] [LandingPage] Loading section: gallery @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3119ms] [LOG] [LandingPage] IntersectionObserver fired for repo-kinetic [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3119ms] [LOG] [LandingPage] Loading section: repo-kinetic @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3119ms] [LOG] [LandingPage] IntersectionObserver fired for cta [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3119ms] [LOG] [LandingPage] Loading section: cta @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3119ms] [LOG] [LandingPage] IntersectionObserver fired for scrolling [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3120ms] [LOG] [LandingPage] Loading section: scrolling @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3120ms] [LOG] [LandingPage] IntersectionObserver fired for offer [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3120ms] [LOG] [LandingPage] Loading section: offer @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3120ms] [LOG] [LandingPage] IntersectionObserver fired for gtm-boost [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3120ms] [LOG] [LandingPage] Loading section: gtm-boost @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3297ms] [LOG] [LandingPage] Section loaded: workflow @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3298ms] [LOG] [LandingPage] Section loaded: comparison @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3303ms] [ERROR] [popcorn-init] FAILED at: plugin-jsonTransition TypeError: Class constructor SortableElement cannot be invoked without 'new'
    at http://localhost:3104/components/modals/RetargetOptInModal.jsx:26:22 @ http://localhost:3104/src/lib/popcornInit.js:55
[    3363ms] [LOG] [LandingPage] Section loaded: repos @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3425ms] [LOG] [LandingPage] Section loaded: agency @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3514ms] [LOG] [LandingPage] Section loaded: engines @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3624ms] [LOG] [LandingPage] Section loaded: problem @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3749ms] [LOG] [LandingPage] Section loaded: hook @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3759ms] [LOG] [LandingPage] Section loaded: value @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3769ms] [LOG] [LandingPage] Section loaded: features @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3773ms] [LOG] [LandingPage] Section loaded: apps @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3778ms] [LOG] [LandingPage] Section loaded: ai-workflow @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3844ms] [LOG] [LandingPage] Section loaded: made-with @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3890ms] [LOG] [LandingPage] Section loaded: ugc @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
[    3919ms] [LOG] [LandingPage] Section loaded: repo-reference @ http://localhost:3104/src/components/landing/LandingPage.jsx:140
